,DATA_ITEM,RESOURCE_NAME,OPR_DATE,INTERVAL_NUM,INTERVAL_START_GMT,INTERVAL_END_GMT,VALUE
119,SYS_FCST_DA_MW,BANCMID,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,409.68
120,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,11,2025-09-09T17:00:00-00:00,2025-09-09T18:00:00-00:00,104.55
121,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,88.16
122,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,117.64
123,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,107.44
124,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,97.93
125,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,83.84
126,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,122.89
127,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,85.45
128,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,12,2025-09-09T18:00:00-00:00,2025-09-09T19:00:00-00:00,107.09
129,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,130.7
130,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,136.03
131,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,130.69
132,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,10,2025-09-09T16:00:00-00:00,2025-09-09T17:00:00-00:00,104.05
133,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,124.32
134,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,90.24
135,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,80.8
136,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,94.41
137,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,100.29
138,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,134.93
139,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,78.94
140,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,80.12
141,SYS_FCST_DA_MW,BANCRDNG,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,103.06
