node_id,lon,lat,2026-05-05 21:00:00,2026-05-05 20:00:00,2026-05-05 19:00:00,2026-05-05 18:00:00,2026-05-05 17:00:00,2026-05-05 16:00:00,2026-05-05 15:00:00,2026-05-05 14:00:00,2026-05-05 13:00:00,2026-05-05 12:00:00,2026-05-05 11:00:00,2026-05-05 10:00:00,2026-05-05 09:00:00,2026-05-05 08:00:00,2026-05-05 07:00:00,2026-05-05 06:00:00,2026-05-05 05:00:00,2026-05-05 04:00:00,2026-05-05 03:00:00,2026-05-05 02:00:00,2026-05-05 00:00:00,2026-05-04 23:00:00,2026-05-04 22:00:00
LILAC_6_N010,-117.08580133044258,33.25323212204728,28.25358,28.38151,20.45928,2.40963,-1.82739,-2.20083,-2.13342,-2.035,-1.84995,-1.41067,-0.54332,0.64335,2.80388,16.95622,25.93267,28.188,27.19556,26.30091,27.06557,27.76506,33.93994,34.79486,35.06544
LIMESTNE_6_N001,-120.97960448884528,38.63377399998596,27.4193,27.39954,20.07627,8.13597,5.65201,3.87305,2.83097,5.59877,5.24615,8.47851,13.54363,19.84612,20.71911,20.54305,26.21773,27.95929,26.92622,25.79049,26.70419,27.28907,31.63446,32.73975,33.27178
LINCLN_1_N001,-121.2943206,38.900649968978726,27.32971,27.29544,20.02301,8.10005,5.65353,3.79934,2.78777,5.5547,5.15415,8.36639,13.43751,19.85604,20.74041,20.55566,26.23093,27.97906,26.94798,25.80619,26.72576,27.32505,31.5159,32.59102,33.1417
LINCLN_1_N002,-121.29426074339143,38.900569285495344,27.32971,27.29544,20.02301,8.10005,5.65353,3.79934,2.78777,5.5547,5.15415,8.36639,13.43751,19.85604,20.74041,20.55566,26.23093,27.97906,26.94798,25.80619,26.72576,27.32505,31.5159,32.59102,33.1417
LINCLN_1_N003,-121.29438045660856,38.900569285495344,27.32971,27.29544,20.02301,8.10005,5.65353,3.79934,2.78777,5.5547,5.15415,8.36639,13.43751,19.85604,20.74041,20.55566,26.23093,27.97906,26.94798,25.80619,26.72576,27.32505,31.5159,32.59102,33.1417
LINDEN_6_N101,-121.095875,38.016891,28.51674,28.42935,20.78289,8.49954,5.85901,4.22093,3.01816,5.85494,5.65335,9.01892,14.34935,20.62583,21.54159,21.30023,27.09139,28.75837,27.72064,26.50507,27.44313,28.01966,32.57971,33.65576,34.21311
LIPTON_6_N001,-121.2686307,37.96812171,27.72725,27.70623,20.32205,8.41801,5.81739,4.20156,3.0072,5.83616,5.64069,8.98957,14.29451,20.48996,21.30604,20.89839,26.51335,28.18518,27.17924,26.05748,26.97118,27.60179,32.09885,33.11494,33.6175
LITEHIPE_6_N001,-118.17514521979062,33.880337222508835,27.76365,27.83838,19.06805,-1.23834,-1.98874,-2.27895,-2.17555,-2.15893,-1.92704,-1.25412,-0.7401,1.01722,2.38351,15.02586,25.98018,27.8887,26.90173,25.97633,26.6934,27.4136,33.19231,33.84504,34.20968
LITEHIPE_6_N008,-118.175353950099,33.8803531892646,27.76365,27.83838,19.06805,-1.23834,-1.98874,-2.27895,-2.17555,-2.15893,-1.92704,-1.25412,-0.7401,1.01722,2.38351,15.02586,25.98018,27.8887,26.90173,25.97633,26.6934,27.4136,33.19231,33.84504,34.20968
LITTLERK_6_N001,-117.96799894292494,34.61574431803345,27.92323,27.92982,18.83494,-2.02169,-2.62595,-2.8073,-2.59822,-2.72071,-2.54699,-2.00471,-1.91107,-0.51707,0.59941,14.30459,26.03297,28.12306,27.1221,26.16741,26.82015,27.59902,33.43603,34.29798,34.68548
LITTLESH_LNODELD1,-122.3696599,41.70174123,22.86429,33.83947,20.74706,35.24511,5.21932,22.87453,2.83465,35.06253,4.84188,7.91385,12.45699,37.07499,19.58085,36.66134,22.54249,22.47495,23.5661,22.59447,22.29096,27.79173,17.48586,17.24352,17.29876
LIVEOAK_7_N004,-121.66044040216872,39.27706530086978,27.48649,27.39954,20.04554,8.01599,5.65626,3.62258,2.70593,5.46909,4.98464,8.21848,13.16778,19.9496,20.86684,20.58089,26.27316,28.12024,27.14115,25.89257,26.9496,27.54644,31.63117,32.75327,33.28204
LIVEOAK_7_N005,-121.66056059783126,39.27706530086978,27.48649,27.39954,20.04554,8.01599,5.65626,3.62258,2.70593,5.46909,4.98464,8.21848,13.16778,19.9496,20.86684,20.58089,26.27316,28.12024,27.14115,25.89257,26.9496,27.54644,31.63117,32.75327,33.28204
LIVERMRE_6_N001,-121.78059286544908,37.68013099998621,28.59793,28.85578,23.11462,16.09641,12.1683,13.84908,9.15793,13.31956,15.40612,19.81556,24.27366,28.84963,30.67565,27.2186,27.07819,28.83743,27.69888,26.48413,27.40267,28.08608,32.61265,33.818,34.35003
LIVERMRE_6_N003,-121.78070713455092,37.68013099998621,28.59793,28.85578,23.11462,16.09641,12.1683,13.84908,9.15793,13.31956,15.40612,19.81556,24.27366,28.84963,30.67565,27.2186,27.07819,28.83743,27.69888,26.48413,27.40267,28.08608,32.61265,33.818,34.35003
LIVNGSTN_6_N001,-120.760425,37.363379203022006,27.70206,27.09117,16.28802,-1.84722,-3.06939,-4.81201,-4.33616,-3.88236,-3.33807,-1.65692,6.34067,9.35378,9.69402,14.14627,26.32595,28.11741,27.10306,25.97895,26.83903,27.46342,32.18778,33.14874,33.50112
LKHODG1_7_N001,-117.1191503852145,33.05882516998864,27.91203,28.14235,20.29132,2.3499,-1.88905,-2.09599,-2.15252,-1.92537,-1.9004,-1.45888,-0.62487,0.47385,2.79024,15.15222,25.75582,27.8294,26.8718,25.99466,26.72846,27.46065,33.47885,34.2777,34.58622
LKHODG2_7_N001,-117.1192572147855,33.05882516998864,27.91203,28.14235,20.29132,2.3499,-1.88905,-2.09599,-2.15252,-1.92537,-1.9004,-1.45888,-0.62487,0.47385,2.79024,15.15222,25.75582,27.8294,26.8718,25.99466,26.72846,27.46065,33.47885,34.2777,34.58622
LLAGAS_1_N001,-121.557391,37.00695804036717,28.71551,29.55657,25.80209,20.20834,13.34195,10.30718,9.30133,15.25565,10.26029,15.0769,20.2229,29.47138,29.10642,24.08922,27.07027,28.85437,27.75601,26.57051,27.47818,28.16356,32.80696,33.90927,34.47326
LLAGAS_1_N003,-121.55733239433584,37.00687697980194,28.71551,29.55657,25.80209,20.20834,13.34195,10.30718,9.30133,15.25565,10.26029,15.0769,20.2229,29.47138,29.10642,24.08922,27.07027,28.85437,27.75601,26.57051,27.47818,28.16356,32.80696,33.90927,34.47326
LLAGAS_1_N005,-121.55744960566416,37.00687697980194,28.71551,29.55657,25.80209,20.20834,13.34195,10.30718,9.30133,15.25565,10.26029,15.0769,20.2229,29.47138,29.10642,24.08922,27.07027,28.85437,27.75601,26.57051,27.47818,28.16356,32.80696,33.90927,34.47326
LMBIGENT_2_N003,-121.85511483820666,38.24129880476015,27.87003,28.09042,22.0776,15.17414,9.38264,12.97163,8.1696,12.01875,14.50188,18.65973,23.3656,25.06644,25.85061,23.74269,26.48167,28.18235,27.0949,25.91351,26.81206,27.45788,31.67728,32.83777,33.35393
LMBIGENT_2_N004,-121.8551148384916,38.24147919512789,27.87003,28.09042,22.0776,15.17414,9.38264,12.97163,8.1696,12.01875,14.50188,18.65973,23.3656,25.06644,25.85061,23.74269,26.48167,28.18235,27.0949,25.91351,26.81206,27.45788,31.67728,32.83777,33.35393
LMEC1_1_LN001,-121.87238265430828,38.02990999998608,28.8219,29.03021,23.04652,14.6632,10.22577,10.80501,7.47351,11.53867,12.02891,16.21602,21.02697,26.48059,29.05851,24.87135,27.29463,29.02379,27.8866,26.65427,27.58336,28.3047,32.85637,34.06137,34.63414
LMEC1_1_LN002,-121.87249734569173,38.02990999998608,28.8219,29.03021,23.04652,14.6632,10.22577,10.80501,7.47351,11.53867,12.02891,16.21602,21.02697,26.48059,29.05851,24.87135,27.29463,29.02379,27.8866,26.65427,27.58336,28.3047,32.85637,34.06137,34.63414
